Date scraped,Topics,Count,Total,proportion
2025-01-23,business,15,106,0.14150943396226415
2025-01-23,entertainment,39,106,0.36792452830188677
2025-01-23,politics,36,106,0.33962264150943394
2025-01-23,sport,14,106,0.1320754716981132
2025-01-23,tech,2,106,0.018867924528301886
2025-01-24,business,17,97,0.17525773195876287
2025-01-24,entertainment,25,97,0.25773195876288657
2025-01-24,politics,33,97,0.3402061855670103
2025-01-24,sport,20,97,0.20618556701030927
2025-01-24,tech,2,97,0.020618556701030927
2025-01-25,business,7,59,0.11864406779661017
2025-01-25,entertainment,22,59,0.3728813559322034
2025-01-25,politics,15,59,0.2542372881355932
2025-01-25,sport,13,59,0.22033898305084745
2025-01-25,tech,2,59,0.03389830508474576
2025-01-26,business,5,49,0.10204081632653061
2025-01-26,entertainment,17,49,0.3469387755102041
2025-01-26,politics,15,49,0.30612244897959184
2025-01-26,sport,10,49,0.20408163265306123
2025-01-26,tech,2,49,0.04081632653061224
2025-01-27,business,5,41,0.12195121951219512
2025-01-27,entertainment,14,41,0.34146341463414637
2025-01-27,politics,15,41,0.36585365853658536
2025-01-27,sport,5,41,0.12195121951219512
2025-01-27,tech,2,41,0.04878048780487805
